date,scope,reason
2021-01-26,all,Republic Day
2021-03-29,all,Holi
2021-05-01,all,Maharashtra Day
2021-08-15,all,Independence Day
2021-10-02,all,Gandhi Jayanti
2021-11-04,all,Diwali (Lakshmi Puja)
2021-11-05,all,Diwali (Padwa)
2022-01-26,all,Republic Day
2022-03-18,all,Holi
2022-05-01,all,Maharashtra Day
2022-08-15,all,Independence Day
2022-10-02,all,Gandhi Jayanti
2022-10-24,all,Diwali (Lakshmi Puja)
2022-10-26,all,Diwali (Padwa)
2023-01-26,all,Republic Day
2023-03-07,all,Holi
2023-05-01,all,Maharashtra Day
2023-08-15,all,Independence Day
2023-10-02,all,Gandhi Jayanti
2023-11-12,all,Diwali (Lakshmi Puja)
2023-11-14,all,Diwali (Padwa)
2024-01-26,all,Republic Day
2024-03-25,all,Holi
2024-05-01,all,Maharashtra Day
2024-08-15,all,Independence Day
2024-10-02,all,Gandhi Jayanti
2024-11-01,all,Diwali (Lakshmi Puja)
2024-11-02,all,Diwali (Padwa)
2025-01-26,all,Republic Day
2025-03-14,all,Holi
2025-05-01,all,Maharashtra Day
2025-08-15,all,Independence Day
2025-10-02,all,Gandhi Jayanti
2025-10-21,all,Diwali (Lakshmi Puja)
2025-10-22,all,Diwali (Padwa)
2026-01-26,all,Republic Day
2026-03-04,all,Holi
2026-05-01,all,Maharashtra Day
2026-08-15,all,Independence Day
2026-10-02,all,Gandhi Jayanti
2026-11-08,all,Diwali (Lakshmi Puja)
2026-11-10,all,Diwali (Padwa)
